,pl_name,pl_letter,hostname,ra,dec,glon,glat,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,pl_occdep,pl_insol,pl_dens,pl_trandep,pl_tranmid,sy_pmdec,sy_plx,sy_dist,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gmag,sy_gaiamag,sy_tmag,pl_controv_flag,st_metratio,st_spectype,sy_kepmag,st_rotp,cb_flag,pl_trandur,pl_rvamp,pl_radj,pl_rade,pl_ratror,pl_ratdor,sy_icmag,dkin_flag,pl_imppar,pl_bmassj,pl_bmasse,pl_bmassprov,st_teff,st_met,st_radv,st_vsin,st_lum,st_logg,st_age,st_mass,st_dens,st_rad,ttv_flag,ptv_flag,tran_flag,rv_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,pul_flag,sy_snum,sy_pnum,sy_mnum,sy_pm,sy_pmra
0,OGLE-2016-BLG-1227L b,b,OGLE-2016-BLG-1227L,265.597125,-33.7597778,355.52875,-1.93858,,3.4,,,,,0.512,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,1.24,13.9,,,,0,,0.79,250.0,Mass,,,,,,,,0.1,,,0,0,0,0,0,0,1,0,0,0,1,1,0,,
1,Kepler-276 c,c,Kepler-276,293.568197,39.0363123,72.30607,9.13322,31.884,0.1994,0.0,563.0,,19.79,3.74,0.091,2454993.20696,1.09572,0.846215,1144.86,15.228,15.481,14.234,13.867,13.838,,15.297,15.159,15.047,13.831,13.967,12.677,9.256,15.857,15.3648,14.8896,0,[Fe/H],,15.368,,0,5.099,,0.259,2.9,0.02815,17.44,,0,0.3966,0.052,16.6,Mass,5779.0,0.02,,,-0.089,4.46,0.4,1.1,1.73156,1.03,1,0,1,0,0,0,0,0,0,0,1,3,0,8.0702604,7.99553
2,Kepler-829 b,b,Kepler-829,282.3328312,42.4638125,71.95093,18.29325,6.88337562,0.0678,0.0,857.0,,247.47,2.98,0.04584,2454968.26458,-2.45556,0.902722,1073.76,15.605,14.973,13.699,13.364,13.29,,14.888,14.708,14.637,13.285,13.323,12.506,9.038,15.452,14.9206,14.4166,0,[Fe/H],,14.931,,0,2.2442,,0.188,2.11,0.02013,23.559,,0,0.075,0.016,5.1,M-R relationship,5698.0,0.03,,,0.04,4.46,4.68,0.98,5.22062,0.97,0,0,1,0,0,0,0,0,0,0,1,1,0,8.3089089,7.93777
3,K2-283 b,b,K2-283,13.1943679,9.6929181,123.48272,-53.1774,1.921036,0.0291,,1186.0,,,1.54,0.1967,2457394.90901,-1.73796,2.45325,402.915,15.516,14.364,12.579,12.114,11.983,17.0887,14.1868,13.051,13.7562,11.936,12.018,12.507,8.785,15.2113,14.1316,13.4901,0,[Fe/H],,14.119,,0,1.7496,,0.314,3.52,0.0393,8.23,,0,0.37,0.0383,12.2,M-R relationship,5060.0,0.28,,,-0.524,4.56,,0.89,2.861,0.82,0,0,1,0,0,0,0,0,0,0,1,1,0,11.1101761,-10.9734
4,Kepler-477 b,b,Kepler-477,288.067445,42.355305,73.50616,14.33019,11.11990653,0.0911,0.0,649.0,,38.71,3.06,0.06363,2454972.752936,-6.0,,367.0,14.526,13.835,12.274,11.832,11.729,,13.489,13.263,13.175,11.628,11.674,11.62,9.269,14.174,,12.889,0,[Fe/H],,13.536,,0,3.3296,,0.185,2.07,0.02398,19.7,,0,0.68,0.0155,4.94,M-R relationship,5240.0,-0.04,,,-0.372,4.58,2.09,0.87,1.44556,0.79,0,0,1,0,0,0,0,0,0,0,2,1,0,26.7,-26.0
5,HAT-P-11 c,c,HAT-P-11,297.7101763,48.0818635,81.83486,10.77239,3407.0,4.13,0.601,,,,1.71,,,232.988,26.4508,37.7647,10.556,9.46,7.608,7.131,7.009,,9.479,,,6.919,7.001,6.97,6.867,10.665,9.15098,8.5077,0,[Fe/H],K4,9.174,29.2,0,,30.9,1.19,13.3,,,,0,,2.3,731.009,Mass,4780.0,0.31,-63.24,1.5,-0.564,4.66,6.5,0.81,3.70008,0.68,0,0,0,1,0,0,0,0,0,0,1,2,0,264.8686021,125.984
6,Qatar-7 b,b,Qatar-7,358.5151344,37.0218242,110.38223,-24.44772,2.032046,0.0352,0.0,2053.0,,,0.502,,2458043.32075,-1.12874,1.38842,705.981,13.695,13.134,11.859,11.599,11.561,15.2332,13.0463,12.8781,13.3242,11.481,11.504,11.252,8.969,15.369,12.9275,12.489,0,[Fe/H],F4 V,,5.9,0,3.5784,239.0,1.7,19.055,0.11,4.84,,0,0.08,1.88,597.5204,Mass,6387.0,0.276,-4.7,13.8,0.563,4.2,1.69,1.41,0.521,1.56,0,0,1,1,0,0,0,0,0,0,1,1,0,5.310004,-5.18865
7,HD 149143 b,b,HD 149143,248.2126715,2.0844547,17.5164,31.48148,4.07182,0.053,0.0167,,,,0.923,,,-86.7391,13.6179,73.2801,8.482,7.89,6.759,6.535,6.434,,,,,6.43,6.386,6.428,6.417,,7.74081,7.3185,0,[Fe/H],G0,,,0,,150.3,1.22,13.6,,,,0,,1.33,422.7139,Msini,5856.0,0.29,12.06,3.9,0.35,4.25,4.28,1.2,0.28619,1.44,0,0,0,1,0,0,0,0,0,0,1,1,0,87.2392449,-9.32815
8,HD 210702 b,b,HD 210702,332.9638643,16.0404806,76.29345,-32.02111,354.1,1.148,0.028,,,,1.31,,,-17.1556,18.4231,54.1963,6.895,5.93022,4.508,3.995,3.984,,,,,3.713,3.4,3.696,3.61,,5.6807,5.115,0,[Fe/H],K1 III,,,0,,37.8,1.2,13.4,,,,0,,1.808,574.63664,Msini,4951.0,0.04,16.39,1.99,1.149,3.28,2.1,1.61,,4.92,0,0,0,1,0,0,0,0,0,0,1,1,0,17.4590557,-3.24099
9,HIP 12961 b,b,HIP 12961,41.6800749,-23.0860048,210.53871,-63.65019,57.435,0.25,0.17,,,,0.273,,,140.972,42.7591,23.371,11.602,10.25,7.558,6.927,6.736,,,,,6.639,6.633,6.61,6.476,,9.59893,8.7514,0,[Fe/H],M0,,,0,,24.7,1.18,13.2,,,,0,,0.36,114.4188,Msini,3901.0,-0.14,,,-1.003,4.65,,0.69,3.02935,0.65,0,0,0,1,0,0,0,0,0,0,1,1,0,326.883283,294.923
